,tconst,averageRating,numVotes
1097348,tt3784778,9.5,4437
1100592,tt3827236,9.8,7520
1101665,tt3842946,9.5,4614
1101666,tt3842948,9.5,3641
1101795,tt3844774,9.5,1359
1103073,tt3865220,9.6,4183
1103206,tt3866850,9.8,107713
1104184,tt3885886,9.6,8790
1108856,tt3972954,9.5,5491
1110779,tt4006548,9.5,12379
1111766,tt4023224,9.5,6520
1112926,tt4041680,9.5,9622
1116363,tt4089754,9.7,15034
1118511,tt4128194,9.8,13263
1119297,tt4138338,9.6,15325
1119831,tt4146568,9.5,13159
1123889,tt4206538,9.5,3308
1124571,tt4217814,9.6,2966
1128417,tt4283028,9.7,77644
1128429,tt4283088,9.9,223160
1128431,tt4283094,9.9,159051
1130785,tt4322044,9.5,2416
1130787,tt4322054,9.5,2415
1132529,tt4355292,9.5,2392
1133361,tt4370552,9.5,12492
1134178,tt4384708,9.5,3380
1134554,tt4389744,9.5,8334
1135405,tt4408264,9.6,2434
1135406,tt4408266,9.7,2427
1135408,tt4408284,9.5,2391
1138173,tt4448236,9.5,3858
1139020,tt4460256,9.8,7051
1139283,tt4463994,9.5,5495
1141218,tt4494632,9.5,2382
1141219,tt4494636,9.5,2381
1141220,tt4494638,9.5,2383
1141221,tt4494640,9.7,2374
1142250,tt4510954,9.5,8673
1142830,tt4519204,9.6,2444
1143775,tt4532988,9.7,7209
1144224,tt4540234,9.5,4423
1144821,tt4550868,9.6,9677
1145381,tt4560266,9.5,2007
1146322,tt4575388,9.6,32331
1146334,tt4575574,9.6,4054
1147028,tt4587694,9.5,2377
1147029,tt4587698,9.6,2374
1147030,tt4587702,9.5,2368
1147031,tt4587706,9.5,2372
1150890,tt4659842,9.5,3297
1151315,tt4666256,9.5,2369
1151316,tt4666264,9.5,2373
1152173,tt4679206,9.7,6664
1152176,tt4679212,9.5,4052
1152177,tt4679214,9.8,11079
1153621,tt4701542,9.6,12756
1154007,tt4706148,9.5,5816
1156833,tt4744462,9.5,2210
1158540,tt4771558,9.5,2344
1159661,tt4792756,9.7,2484
1161402,tt4832262,9.5,20633
1161646,tt4836454,9.5,2380
1166508,tt4927314,9.6,6183
1167166,tt4938410,9.7,10114
1172437,tt5032376,9.5,2081
1175070,tt5072092,9.5,2633
1175325,tt5075866,9.5,3639
1176566,tt5091902,9.7,4225
1177562,tt5107700,9.5,3640
1180808,tt5153884,9.8,6432
1182589,tt5181372,9.5,4256
1185287,tt5218228,9.6,24234
1185314,tt5218332,9.8,35938
1185349,tt5218434,9.6,11624
1185371,tt5218488,9.6,9284
1186096,tt5229638,9.7,31710
1189234,tt5271822,9.5,6623
1191772,tt5307414,9.5,1785
1192854,tt5326246,9.6,13330
1193689,tt5338044,9.5,8324
1193812,tt5338910,9.5,1035
1193813,tt5338912,9.7,1490
1193815,tt5338920,9.6,1223
1193816,tt5338930,9.6,1435
1193817,tt5338938,9.7,1994
1193941,tt5340582,9.8,7259
1198578,tt5443876,9.7,1516
1198579,tt5443880,9.6,1305
1198586,tt5443910,9.7,3283
1198587,tt5443916,9.6,1327
1198588,tt5443922,9.7,1794
1201838,tt5491994,9.5,156691
1203223,tt5511776,9.7,1381
1205307,tt5540878,9.6,1245
1207617,tt5576234,9.7,1867
1208162,tt5584166,9.6,8238
1208811,tt5593252,9.7,1824
1208812,tt5593254,9.6,1364
1215018,tt5690552,9.5,11012
1216749,tt5719536,9.7,27457
1216903,tt5721762,9.7,1324
1220249,tt5775846,9.7,93982
1220558,tt5780830,9.7,4711
1222762,tt5812092,9.5,3388
1223954,tt5830088,9.7,1514
1224544,tt5838588,9.5,36915
1226631,tt5869624,9.6,2176
1227378,tt5880946,9.5,4387
1229065,tt5908784,9.6,2460
1230986,tt5937924,9.5,4979
1232394,tt5960350,9.6,3189
1232971,tt5969452,9.5,1723
1233390,tt5975892,9.5,2401
1235370,tt6009064,9.7,1928
1240314,tt6080222,9.7,12966
1240988,tt6089392,9.5,2642
1244666,tt6142668,9.5,5152
1245798,tt6161168,9.7,53187
1246689,tt6174620,9.5,3251
1249325,tt6218112,9.7,1245
1249670,tt6223224,9.6,15169
1255102,tt6305630,9.5,3006
1258156,tt6355370,9.6,1775
1258158,tt6355376,9.5,1737
1258331,tt6358554,9.6,2292
1259554,tt6381876,9.6,3309
1259555,tt6381880,9.5,3319
1259556,tt6381882,9.8,6382
1260309,tt6392928,9.5,2533
1260338,tt6393472,9.5,2486
1260919,tt6402802,9.7,1454
1263148,tt6439870,9.7,6369
1263907,tt6451854,9.5,2476
1268621,tt6542628,9.8,13417
1273066,tt6633682,9.5,9654
1273070,tt6633696,9.7,13370
1273161,tt6635194,9.6,11664
1273246,tt6638246,9.7,2190
1273247,tt6638248,9.6,1592
1273686,tt6646378,9.6,1154
1274855,tt6674736,9.5,10481
1277094,tt6723680,9.7,46745
1277095,tt6723686,9.5,23499
1277099,tt6723708,9.5,22584
1277100,tt6723710,9.7,34701
1277928,tt6741930,9.5,11613
1277930,tt6741934,9.5,9119
1277937,tt6741948,9.5,10701
1278163,tt6746190,9.6,8730
1288348,tt6941178,9.6,3563
1294894,tt7074030,9.5,18372
1298666,tt7151672,9.8,2764
1302443,tt7228366,9.5,6190
1305084,tt7277634,9.5,3305
1311352,tt7415348,9.6,1328
1311506,tt7419392,9.6,2897
1312883,tt7453430,9.6,18593
1316197,tt7528760,9.5,2870
1316664,tt7538062,9.6,2494
1316665,tt7538064,9.6,2469
1316666,tt7538068,9.5,2458
1316667,tt7538072,9.6,2467
1316668,tt7538074,9.6,2458
1316670,tt7538078,9.6,2452
1316671,tt7538080,9.6,2460
1316672,tt7538086,9.6,2451
1316673,tt7538088,9.6,2445
1316674,tt7538090,9.6,2443
1316675,tt7538092,9.6,2481
1316676,tt7538096,9.6,2443
1316677,tt7538098,9.6,2464
1316678,tt7538104,9.6,2434
1316679,tt7538106,9.6,2449
1316681,tt7538112,9.7,2456
1320505,tt7617088,9.5,2160
1321101,tt7629358,9.7,8867
1324990,tt7704314,9.5,3819
1331729,tt7849548,9.5,1917
1332498,tt7865962,9.6,2669
1337021,tt7958030,9.5,14625
1342463,tt8084166,9.7,15074
1342465,tt8084176,9.9,33994
1342467,tt8084180,9.7,14586
1342634,tt8089526,9.5,8276
1344934,tt8142470,9.8,5159
1345784,tt8164820,9.7,4374
1346408,tt8181496,9.7,2379
1347372,tt8203520,9.5,1136
1349619,tt8253126,9.7,14515
1350258,tt8266826,9.8,18156
1350262,tt8266836,9.6,7051
1350985,tt8285674,9.5,3286
1356044,tt8400858,9.6,1931
1357618,tt8434604,9.5,3419
1358909,tt8463674,9.5,1121
1359551,tt8482972,9.6,52086
1359996,tt8492824,9.6,1748
1361537,tt8527962,9.7,7486
1362805,tt8560994,9.8,4119
1363063,tt8565640,9.6,10718
1363451,tt8580186,9.7,2272
1365154,tt8630262,9.5,5532
1366261,tt8660066,9.7,1487
1369250,tt8733180,9.5,24144
1369325,tt8734976,9.6,1803
1370845,tt8772218,9.7,26868
1370846,tt8772220,9.7,26316
1372243,tt8805244,9.5,7003
1374095,tt8858304,9.7,1438
1376689,tt8919318,9.5,11543
1377990,tt8956332,9.7,15050
1381479,tt9032188,9.5,1290
1381816,tt9038682,9.5,27452
1388281,tt9166672,9.5,48755
1388284,tt9166696,9.8,62651
1390496,tt9216752,9.6,7622
